ID,商品代码,类目名称,层级,父级ID,是否有子类,是否授权,是否有SPU
2136,2136,"橡胶及塑料制品",1,,true,true,false
2137,2137,"橡胶带",2,2136,true,true,false
2138,2138,"橡胶止水带",3,2137,undefined,true,false
2139,2139,"橡胶传送带",3,2137,undefined,true,false
2140,2140,"橡胶捆绑带",3,2137,undefined,true,false
2141,2141,"橡胶履带",3,2137,undefined,true,false
2143,2143,"橡胶板",2,2136,true,true,false
2144,2144,"夹布胶板",3,2143,undefined,true,false
2145,2145,"绝缘胶板",3,2143,undefined,true,false
2146,2146,"耐油胶板",3,2143,undefined,true,false
2147,2147,"耐酸碱胶板",3,2143,undefined,true,false
2148,2148,"防腐衬里",3,2143,undefined,true,false
2149,2149,"阻尼胶板",3,2143,undefined,true,false
2150,2150,"防滑胶板",3,2143,undefined,true,false
2151,2151,"防腐胶板",3,2143,undefined,true,false
2152,2152,"耐磨胶板",3,2143,undefined,true,false
2153,2153,"防静电胶板",3,2143,undefined,true,false
2154,2154,"特种橡胶板",3,2143,undefined,true,false
2156,2156,"塑料片",2,2136,true,true,false
2157,2157,"PP塑料片",3,2156,undefined,true,false
2158,2158,"PE塑料片",3,2156,undefined,true,false
2159,2159,"PET塑料片",3,2156,undefined,true,false
2160,2160,"ABS塑料片",3,2156,undefined,true,false
2161,2161,"PMMA塑料片",3,2156,undefined,true,false
2162,2162,"PC塑料片",3,2156,undefined,true,false
2163,2163,"PS塑料片",3,2156,undefined,true,false
2165,2165,"PVC塑料片",3,2156,undefined,true,false
2166,2166,"塑料管",2,2136,true,true,false
2167,2167,"PVC管",3,2166,undefined,true,false
2168,2168,"PPR管",3,2166,undefined,true,false
2169,2169,"PP管",3,2166,undefined,true,false
2170,2170,"PE管",3,2166,undefined,true,false
2171,2171,"PC管",3,2166,undefined,true,false
2172,2172,"ABS管",3,2166,undefined,true,false
2173,2173,"PMMA管",3,2166,undefined,true,false
2174,2174,"铝塑管",3,2166,undefined,true,false
2175,2175,"波纹管",3,2166,undefined,true,false
2176,2176,"PA管",3,2166,undefined,true,false
2177,2177,"PU管",3,2166,undefined,true,false
2179,2179,"钢塑管",3,2166,undefined,true,false
2180,2180,"橡胶管",2,2136,true,true,false
2181,2181,"低压橡胶管",3,2180,undefined,true,false
2182,2182,"高压橡胶管",3,2180,undefined,true,false
2183,2183,"硅胶管",3,2180,undefined,true,false
2184,2184,"伸缩胶管",3,2180,undefined,true,false
2185,2185,"编织胶管",3,2180,undefined,true,false
2186,2186,"缠绕胶管",3,2180,undefined,true,false
2187,2187,"夹布胶管",3,2180,undefined,true,false
2188,2188,"增强软管",3,2180,undefined,true,false
2189,2189,"复合胶管",3,2180,undefined,true,false
2190,2190,"液压胶管",3,2180,undefined,true,false
2191,2191,"喷砂胶管",3,2180,undefined,true,false
2192,2192,"耐油胶管",3,2180,undefined,true,false
2193,2193,"纤维胶管",3,2180,undefined,true,false
2194,2194,"特种胶管",3,2180,undefined,true,false
2195,2195,"胶管接头",3,2180,undefined,true,false
2197,2197,"其他橡胶塑料制品",2,2136,true,true,false
2198,2198,"涂胶纺织物",3,2197,undefined,true,false
2199,2199,"日用及医疗橡胶制品",3,2197,undefined,true,false
2200,2200,"泡沫塑料",3,2197,undefined,true,false
2201,2201,"塑料网",3,2197,undefined,true,false
2202,2202,"塑料绳",3,2197,undefined,true,false
2203,2203,"塑料建材",3,2197,undefined,true,false
2204,2204,"橡胶棒",3,2197,undefined,true,false
2205,2205,"橡胶片",3,2197,undefined,true,false
4402,4402,"文化用品",1,,true,true,false
4440,4440,"笔类/书写工具",2,4402,true,true,false
5225,5225,"中性笔",3,4440,undefined,true,false
5226,5226,"替芯/铅芯",3,4440,undefined,true,false
5227,5227,"铅笔",3,4440,undefined,true,false
5228,5228,"钢笔",3,4440,undefined,true,false
5229,5229,"笔用墨水/补充液/墨囊",3,4440,undefined,true,false
5230,5230,"圆珠笔",3,4440,undefined,true,false
5231,5231,"宝珠/走珠/签字笔",3,4440,undefined,true,false
5232,5232,"荧光笔",3,4440,undefined,true,false
5233,5233,"油漆笔",3,4440,undefined,true,false
5235,5235,"马克笔",3,4440,undefined,true,false
5236,5236,"针管笔",3,4440,undefined,true,false
5237,5237,"泡泡笔",3,4440,undefined,true,false
5238,5238,"正姿笔",3,4440,undefined,true,false
4441,4441,"纸张本册",2,4402,true,true,false
5239,5239,"PU/PVC笔记本",3,4441,undefined,true,true
5240,5240,"学生用笔记本",3,4441,undefined,true,true
5241,5241,"记事本",3,4441,undefined,true,true
5242,5242,"便签本/便条纸/N次贴",3,4441,undefined,true,true
5243,5243,"胶装本",3,4441,undefined,true,true
5244,5244,"分页纸/索引纸",3,4441,undefined,true,true
5245,5245,"螺旋本",3,4441,undefined,true,false
5246,5246,"不干胶标签",3,4441,undefined,true,false
5247,5247,"硬面抄",3,4441,undefined,true,true
5248,5248,"奖状/证书",3,4441,undefined,true,true
5249,5249,"同学录/纪念册",3,4441,undefined,true,false
5250,5250,"拍纸本",3,4441,undefined,true,true
5251,5251,"信纸",3,4441,undefined,true,true
5252,5252,"万用手册",3,4441,undefined,true,false
5253,5253,"课业本/教学用本",3,4441,undefined,true,false
5254,5254,"日记本",3,4441,undefined,true,true
5255,5255,"活页替芯",3,4441,undefined,true,false
5256,5256,"磁性贴",3,4441,undefined,true,false
5257,5257,"贴纸",3,4441,undefined,true,false
5258,5258,"折纸/手工纸",3,4441,undefined,true,false
5259,5259,"通讯录/电话本",3,4441,undefined,true,false
5260,5260,"书签",3,4441,undefined,true,false
5261,5261,"POP广告纸/爆炸贴",3,4441,undefined,true,false
4442,4442,"财会用品",2,4402,true,true,false
4443,4443,"收纳/陈列用品",2,4402,true,true,false
4444,4444,"装订用品",2,4402,true,true,false
4445,4445,"刀剪/粘胶/测绘",2,4402,true,true,false
4446,4446,"日常学习用品",2,4402,true,true,false
4447,4447,"画具/画材/书法用品",2,4402,true,true,false
4448,4448,"其它办公用品",2,4402,true,true,false
4449,4449,"印刷制品",2,4402,true,true,false
4450,4450,"教学用具",2,4402,true,true,false
4451,4451,"实验室用品",2,4402,true,true,false
4452,4452,"电子产品及配件",2,4402,true,true,false
4453,4453,"期刊/资料/档案",2,4402,true,true,false
4454,4454,"图书/档案设备",2,4402,true,true,false
4410,4410,"文化玩乐",1,,true,true,false
4604,4604,"书籍/杂志/报纸",2,4410,true,true,false
4605,4605,"钢琴及配件",2,4410,true,true,false
4607,4607,"吉他及配件",2,4410,true,true,false
4608,4608,"提琴及配件",2,4410,true,true,false
4609,4609,"西洋乐器",2,4410,true,true,false
4610,4610,"民族乐器",2,4410,true,true,false
4611,4611,"乐器配件",2,4410,true,true,false
4612,4612,"锣",2,4410,true,true,false
4613,4613,"鼓",2,4410,true,true,false
4614,4614,"儿童玩具乐器",2,4410,true,true,false
4615,4615,"乐器音箱",2,4410,true,true,false
4616,4616,"模玩/动漫/周边/cos/桌游",2,4410,true,true,false
4617,4617,"MIDI乐器/电脑音乐",2,4410,true,true,false
4618,4618,"古董/邮币/字画/收藏",2,4410,true,true,false
